"","detainer_prepare_date","facility_state","facility_aor","port_of_departure","departure_country","departed_date","case_status","detainer_prepared_criminality","detention_facility","detention_facility_code","facility_city","detainer_prep_threat_level","gender","citizenship_country","birth_country","birth_year","entry_status","most_serious_conviction_charge","msc_sentence_days","msc_sentence_months","msc_sentence_years","msc_charge_code","msc_charge_date","msc_conviction_date","felon","processing_disposition","case_category","arrest_time_case_category","arrest_time_current_program","apprehension_method","final_order_yes_no","final_order_date","apprehension_date","entry_date","prior_felony_yes_no","multiple_prior_misd_yes_no","violent_misdemeanor_yes_no","illegal_entry_yes_no","illegal_reentry_yes_no","immigration_fraud_yes_no","significant_risk_yes_no","other_removal_reason_yes_no","criminal_street_gang_yes_no","aggravated_felony_yes_no","deportation_ordered_yes_no","order_show_cause_served_yes_no","biometric_match_yes_no","statements_made_yes_no","unlawful_attempt_yes_no","unlawful_entry_yes_no","visa_yes_no","federal_interest_yes_no","resume_custody_yes_no","detainer_lift_reason","detainer_lift_reason_code","active_investigation_yes_no","detainer_type","notify_release_request_yes_no","tod_current_duty_site","unique_identifier","duplicate_likely","file_original","sheet_original","row_original"
"1",2026-02-11,"MINNESOTA","St. Paul Area of Responsibility",NA,NA,NA,"ACTIVE","1 Convicted Criminal","MINN.C.F.,ST.CLOUD","MNCFSTC","ST. CLOUD","2","Male","MEXICO","MEXICO",1996,"Not  Applicable","Dangerous Drugs",NA,74,NA,"3599",2025-11-21,2025-12-18,"Not an Aggravated Felon","Warrant of Arrest/Notice to Appear","[2A] Deportable - Under Adjudication by IJ",NA,NA,NA,"NO",NA,NA,2025-11-16,"NO","NO","NO",NA,NA,NA,NA,NA,"NO","NO","NO","NO","YES","YES",NA,NA,NA,NA,"NO","Detainer Declined by LEA","A",NA,"I247A - Immigration Detainer - Notice of Action (as of May 2025)",NA,"ST. PAUL, MN, DOCKET CONTROL OFFICE","00e8e54f78dbbfe579f409c4f14534ae7650e3c2",FALSE,"2026-ICLI-00005_Detainers_FY26_20260311_Redacted.xlsx","FY2026",328
"2",2026-02-11,"MINNESOTA","St. Paul Area of Responsibility",NA,NA,NA,"ACTIVE","1 Convicted Criminal","MINN.C.F.,ST.CLOUD","MNCFSTC","ST. CLOUD","1","Male","MEXICO","MEXICO",1996,NA,"Sex Offense",NA,144,NA,"3699",2023-02-08,2025-12-08,"Not an Aggravated Felon","ADMINISTRATIVE DEPORTATION I-851/I-851A","[11] Administrative Deportation / Removal",NA,NA,NA,"NO",NA,NA,NA,"NO","NO","NO",NA,NA,NA,NA,NA,"NO","NO","NO","NO","NO","YES",NA,NA,NA,NA,"NO","Detainer Declined by LEA","A",NA,"I247A - Immigration Detainer - Notice of Action (as of May 2025)",NA,"ST. PAUL, MN, DOCKET CONTROL OFFICE","038b7aead787fc17b54232e856e0206367664564",FALSE,"2026-ICLI-00005_Detainers_FY26_20260311_Redacted.xlsx","FY2026",1302
"3",2026-02-02,"MINNESOTA","St. Paul Area of Responsibility",NA,NA,NA,"ACTIVE","1 Convicted Criminal","MINN.C.F.,ST.CLOUD","MNCFSTC","ST. CLOUD","1","Male","LAOS","THAILAND",1981,"Not  Applicable","Carrying Prohibited Weapon",NA,60,NA,"5203",2020-12-26,2023-02-16,"Not an Aggravated Felon","Other","[3] Deportable - Administratively Final Order","[3] Deportable - Administratively Final Order","ERO Criminal Alien Program","Custodial Arrest","YES",2007-07-26,NA,1988-07-27,"NO","NO","NO",NA,NA,NA,NA,NA,"NO","NO","YES","NO","YES","YES",NA,NA,NA,NA,"NO","Detainer Declined by LEA","A",NA,"I247A - Immigration Detainer - Notice of Action (as of May 2025)",NA,"ST. PAUL, MN, DOCKET CONTROL OFFICE","080448377a56e37cbe0ffc7493bc6e45f150b422",FALSE,"2026-ICLI-00005_Detainers_FY26_20260311_Redacted.xlsx","FY2026",2998
"4",2026-02-11,"MINNESOTA","St. Paul Area of Responsibility",NA,NA,NA,NA,"1 Convicted Criminal","MINN.C.F.,ST.CLOUD","MNCFSTC","ST. CLOUD","1","Male","MEXICO","MEXICO",1997,NA,"Sex Assault",NA,36,NA,"1199",2024-12-23,2025-11-06,"Not an Aggravated Felon","ADMINISTRATIVE DEPORTATION I-851/I-851A",NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO","NO",NA,NA,NA,NA,NA,"NO","NO","NO","NO","NO","YES",NA,NA,NA,NA,"NO","Detainer Declined by LEA","A",NA,"I247A - Immigration Detainer - Notice of Action (as of May 2025)",NA,"ST. PAUL, MN, DOCKET CONTROL OFFICE","081ee6c70e7a0da8481459f41b2f4441ca6be283",FALSE,"2026-ICLI-00005_Detainers_FY26_20260311_Redacted.xlsx","FY2026",3036
"5",2026-02-11,"MINNESOTA","St. Paul Area of Responsibility",NA,NA,NA,"ACTIVE","1 Convicted Criminal","MINN.C.F.,ST.CLOUD","MNCFSTC","ST. CLOUD","1","Male","AUSTRALIA","SIERRA LEONE",1988,"Not  Applicable","Sex Assault",NA,70,NA,"1199",2023-01-13,2024-02-27,"Not an Aggravated Felon","Warrant of Arrest/Notice to Appear","[2A] Deportable - Under Adjudication by IJ",NA,NA,NA,"NO",NA,NA,2017-04-20,NA,NA,"YES",NA,NA,NA,NA,NA,NA,"YES","NO","NO","YES","YES",NA,NA,NA,"YES","NO","Detainer Declined by LEA","A",NA,"I247A - Immigration Detainer - Immigration Detainer - Notice of Action",NA,NA,"1876f52a1277bad9913fa3c0ac857aa53e120f55",FALSE,"2026-ICLI-00005_Detainers_FY26_20260311_Redacted.xlsx","FY2026",9184
"6",2026-02-11,"MINNESOTA","St. Paul Area of Responsibility",NA,NA,NA,NA,"2 Pending Criminal Charges","MINN.C.F.,ST.CLOUD","MNCFSTC","ST. CLOUD","1","Male","HONDURAS","HONDURAS",1994,"Not  Applicable",NA,NA,NA,NA,NA,NA,NA,"Not an Aggravated Felon","Detainer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","YES","YES","YES",NA,NA,NA,"YES","NO","Detainer Declined by LEA","A",NA,"I247A - Immigration Detainer - Immigration Detainer - Notice of Action",NA,"ST. PAUL, MN, DOCKET CONTROL OFFICE","21f7383f43e8965536e865450be9f64be87fe517",FALSE,"2026-ICLI-00005_Detainers_FY26_20260311_Redacted.xlsx","FY2026",12920
"7",2026-02-11,"MINNESOTA","St. Paul Area of Responsibility",NA,NA,NA,"ACTIVE","2 Pending Criminal Charges","MINN.C.F.,ST.CLOUD","MNCFSTC","ST. CLOUD","3","Male","ECUADOR","ECUADOR",1992,"Not  Applicable",NA,NA,NA,NA,NA,NA,NA,"Not an Aggravated Felon","Detainer","[8B] Excludable / Inadmissible - Under Adjudication by IJ",NA,NA,NA,"NO",NA,NA,NA,"NO","NO","NO",NA,NA,NA,NA,NA,"NO","NO","YES","NO","YES","YES",NA,NA,NA,NA,"NO","Detainer Declined by LEA","A",NA,"I247A - Immigration Detainer - Notice of Action (as of May 2025)",NA,NA,"23deb35febcb1056c088a8ca5a0fbd594a439029",FALSE,"2026-ICLI-00005_Detainers_FY26_20260311_Redacted.xlsx","FY2026",13632
"8",2026-02-11,"MINNESOTA","St. Paul Area of Responsibility",NA,NA,NA,"ACTIVE","2 Pending Criminal Charges","MINN.C.F.,ST.CLOUD","MNCFSTC","ST. CLOUD","1","Male","MEXICO","MEXICO",1998,"Not  Applicable",NA,NA,NA,NA,NA,NA,NA,"Not an Aggravated Felon","Detainer","[8C] Excludable / Inadmissible - Administrative Final Order Issued",NA,NA,NA,"YES",2025-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","YES","YES","YES",NA,NA,NA,"YES","NO","Detainer Declined by LEA","A",NA,"I247A - Immigration Detainer - Immigration Detainer - Notice of Action",NA,NA,"2797ed73c2c2ffdf03d069a42ca5984f6e35a760",FALSE,"2026-ICLI-00005_Detainers_FY26_20260311_Redacted.xlsx","FY2026",15031
"9",2026-02-11,"MINNESOTA","St. Paul Area of Responsibility",NA,NA,NA,"ACTIVE","1 Convicted Criminal","MINN.C.F.,ST.CLOUD","MNCFSTC","ST. CLOUD","1","Male","MEXICO","MEXICO",1994,NA,"Drug Trafficking",NA,48,NA,"35AB",2024-04-26,2024-07-17,"Not an Aggravated Felon","Detainer","[8A] Excludable / Inadmissible - Hearing Not Commenced",NA,NA,NA,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","NO","NO","NO","YES",NA,NA,NA,"YES","NO","Detainer Declined by LEA","A",NA,"I247A - Immigration Detainer - Immigration Detainer - Notice of Action",NA,NA,"2df5ce61e5dec9c4f5bbd2e6d86fd2cb7e313769",FALSE,"2026-ICLI-00005_Detainers_FY26_20260311_Redacted.xlsx","FY2026",17428
"10",2026-02-11,"MINNESOTA","St. Paul Area of Responsibility",NA,NA,NA,"ACTIVE","1 Convicted Criminal","MINN.C.F.,ST.CLOUD","MNCFSTC","ST. CLOUD","1","Male","MEXICO","MEXICO",1973,"Not  Applicable","Sex Assault",NA,180,NA,"1199",2024-08-16,2025-05-16,"Not an Aggravated Felon","ADMINISTRATIVE DEPORTATION I-851/I-851A","[11] Administrative Deportation / Removal",NA,NA,NA,"NO",NA,NA,NA,"NO","NO","NO",NA,NA,NA,NA,NA,"NO","NO","NO","NO","NO","YES",NA,NA,NA,NA,"NO","Detainer Declined by LEA","A",NA,"I247A - Immigration Detainer - Notice of Action (as of May 2025)",NA,NA,"4b8799a2fd8ee7b293b3791927b1e02bfe57cac1",FALSE,"2026-ICLI-00005_Detainers_FY26_20260311_Redacted.xlsx","FY2026",28515
